Altium Designer Pick and Place Locations
E:\Github\Q-Dice\Hardware\Q-Dice\Outputs\Assembly\Pick Place for Q-Dice.csv

========================================================================================================================
File Design Information:

Date:       15/10/23
Time:       22:16
Revision:   3fe143aee72dc84b40ae7d8ede1c1b30deef68a4
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"QH2","MMBT4401","BottomLayer","ONSC-SOT-23-3-318-08_M","2390.748","3614.173","270","General Purpose Transistor, NPN, 0.6 A IC Continuous, 3-Pin SOT23, RoHS, Tape and Reel"
"QH1","STN0214","TopLayer","SOT-223-3_-_NPN","2111.220","3914.370","270","NPN Bipolar Transistor"
"P1","Header 4","TopLayer","HDR1X4","2324.803","1845.669","270","Header, 4-Pin"
"LH1","12LRS156C","TopLayer","IND_12LRS156C","1574.803","3727.362","315","Inductor"
"JU1","JMP","TopLayer","RES0603R","1229.331","3502.953","90","Resistor"
"DS2","0.56''","TopLayer","BA56-12EWA","3138.740","3858.898","360",""
"DS1","0.36''","TopLayer","7-SEG_3BIT_0.36","3433.740","3167.716","360",""
"DH2","BYG23M","TopLayer","DO-214AC","2125.984","4140.748","180","Default Diode"
"DH1","MMSD4148T1G","BottomLayer","ONSC-SOD-123-2-425-04_V","2699.606","3788.583","90","Switching Diode, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"CH3","Cap","TopLayer","CAP1206R","1535.433","4189.961","360","Capacitor"
"CH2","Cap","TopLayer","CAP1206R","1537.401","4032.480","360","Capacitor"
"CH1","Cap","BottomLayer","C_0603_/_1608","2521.851","3690.158","90","Capacitor"
"CU2","100nF","TopLayer","CAP0603R","2467.520","2400.591","360",""
"BT2","Holder Cr2032 Gold Leads Smd","TopLayer","AAA_HOLDER_SMD","1524.409","2202.953","270",""
"BT1","Holder Cr2032 Gold Leads Smd","TopLayer","AAA_HOLDER_SMD","1881.102","2204.528","90",""
